Rank,Country,GDP (USD millions)
Antigua and Barbuda,"2,340","2,208"
San Marino,"2,241","2,028 (2023)"
Seychelles,"2,230","2,167"
Eritrea,—N/a,"2,065 (2011)"
Timor-Leste,"2,125","1,866"
British Virgin Islands,—N/a,—N/a
Turks and Caicos Islands,—N/a,"1,745"
Sint Maarten,—N/a,"1,798"
Solomon Islands,"1,904","1,584"
Comoros,"1,613","1,441"
Grenada,"1,458","1,372"
Samoa,"1,248","1,176"
Saint Vincent and the Grenadines,"1,238","1,157"
Saint Kitts and Nevis,"1,141","1,122"
Vanuatu,"1,119","1,118"
Northern Mariana Islands,—N/a,"1,096 (2022)"
American Samoa,—N/a,871 (2022)
São Tomé and Príncipe,976,822
Dominica,748,689
Saint Martin,—N/a,649 (2021)
Tonga,587,591 (2023)
Micronesia,495,471
Anguilla,—N/a,—N/a
Cook Islands,—N/a,—N/a
Palau,341,277 (2023)
Kiribati,321,308
Marshall Islands,302,290
Nauru,172,163
Montserrat,—N/a,—N/a
Tuvalu,58,62 (2023)
